Date : 2022-03-11 16:02:21
Directory : /Users/davidbester/Coding/recipes-app
Total : 108 files,  88524 codes, 89 comments, 528 blanks, all 89141 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/davidbester/Coding/recipes-app/client/src/hoc/index.ts                                          | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/davidbester/Coding/recipes-app/client/src/hooks/index.ts                                        | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/davidbester/Coding/recipes-app/client/src/hooks/redux/reduxHooks.ts                             | TypeScript         |          4 |          1 |          2 |          7 |
| /Users/davidbester/Coding/recipes-app/client/src/hooks/useClickOutside/useClickOutside.ts              | TypeScript         |         20 |          0 |          5 |         25 |
| /Users/davidbester/Coding/recipes-app/client/src/i18n/config.ts                                        | TypeScript         |         18 |          0 |          4 |         22 |
| /Users/davidbester/Coding/recipes-app/client/src/i18n/locales/en.json                                  | JSON               |          8 |          0 |          1 |          9 |
| /Users/davidbester/Coding/recipes-app/client/src/i18n/locales/si.json                                  | JSON               |          8 |          0 |          1 |          9 |
| /Users/davidbester/Coding/recipes-app/client/src/index.scss                                            | SCSS               |         17 |          0 |          2 |         19 |
| /Users/davidbester/Coding/recipes-app/client/src/index.tsx                                             | TypeScript React   |         21 |          3 |          3 |         27 |
| /Users/davidbester/Coding/recipes-app/client/src/models/Error/Error.model.ts                           | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/davidbester/Coding/recipes-app/client/src/models/Profile/MyProfile.model.ts                     | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/davidbester/Coding/recipes-app/client/src/models/Profile/Profile.model.ts                       | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/davidbester/Coding/recipes-app/client/src/models/Recipe/Recipe.model.ts                         | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/davidbester/Coding/recipes-app/client/src/models/Recipe/RecipeListItem.model.ts                 | TypeScript         |         11 |          0 |          1 |         12 |
| /Users/davidbester/Coding/recipes-app/client/src/models/index.ts                                       | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/davidbester/Coding/recipes-app/client/src/react-app-env.d.ts                                    | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/davidbester/Coding/recipes-app/client/src/sass/_fonts.scss                                      | SCSS               |         84 |          0 |         14 |         98 |
| /Users/davidbester/Coding/recipes-app/client/src/sass/_functions.scss                                  | SCSS               |          0 |          0 |          1 |          1 |
| /Users/davidbester/Coding/recipes-app/client/src/sass/_variables.scss                                  | SCSS               |         49 |          6 |          6 |         61 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/About/About.scss                              | SCSS               |          4 |          0 |          1 |          5 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/About/About.tsx                               | TypeScript React   |         12 |          0 |          3 |         15 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/Cookbooks/Cookbooks.tsx                       | TypeScript React   |          6 |          0 |          3 |          9 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/Discover/Discover.scss                        | SCSS               |         14 |          0 |          3 |         17 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/Discover/Discover.tsx                         | TypeScript React   |         34 |          0 |          6 |         40 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/Logout/Logout.tsx                             | TypeScript React   |         12 |          0 |          5 |         17 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/Profile/Profile.scss                          | SCSS               |         37 |          0 |          8 |         45 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/Profile/Profile.tsx                           | TypeScript React   |        131 |          3 |         11 |        145 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/Recipe/Recipe.scss                            | SCSS               |          0 |          0 |          3 |          3 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/Recipe/Recipe.tsx                             | TypeScript React   |         34 |          0 |          6 |         40 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/Saved/Saved.tsx                               | TypeScript React   |          6 |          0 |          3 |          9 |
| /Users/davidbester/Coding/recipes-app/client/src/screens/index.ts                                      | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/davidbester/Coding/recipes-app/client/src/serviceWorker.ts                                      | TypeScript         |        102 |         31 |         14 |        147 |
| /Users/davidbester/Coding/recipes-app/client/src/setupTests.ts                                         | TypeScript         |          1 |          4 |          1 |          6 |
| /Users/davidbester/Coding/recipes-app/client/src/store/store.ts                                        | TypeScript         |         31 |          0 |          3 |         34 |
| /Users/davidbester/Coding/recipes-app/client/src/utils/getInitials/getInitials.ts                      | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/davidbester/Coding/recipes-app/client/src/utils/index.ts                                        | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/davidbester/Coding/recipes-app/client/src/utils/validation/validation.ts                        | TypeScript         |          3 |          0 |          2 |          5 |
